Day,Acrodictys,Agrocybe,Algae,Alternaria,Arthimium,Ascomycetes,Asperisporium,Basidiomycetes,Beltrania,Botrytis,Cercospora,Cladosporium,Curvularia,D. Conidia/Hyphae,Dendryphiella,Drechslera/Helmintho.,Dichotomophthora,Diplococcum,Epicoccum,Fusariella,Ganoderma,Helicomina,Microsporum,Misc. Fungus (Hyaline),Monodictys,Myxomycete/Smut,Nigrospora,Penicillium/Aspergillus,Periconia,Pithomyces,Powdery Mildew,Puccinia,Rust,Spegazinia,Stemphyllium,Tetrapola,Tilletia,Torula,Pestalotiopsis,Pseudocercospora,Polythrincium,Pleospora
002,0,0,6.7,49.3,0,1296,0,430.7,0,0,33.3,2242,22,0,0,22.3,0,0,12,0,0,0,0,0,0,141.7,10,145.3,7.3,4,0,0,6.7,0,1.3,0.7,0,0,0,0,0,0
003,0,0,6,54,0,1723.8,0,404.8,0,0,36.8,2445,19.5,0,0,26,0,0,18.5,0,0,0,0,0,0,216,17.5,262.5,15,4,1.5,0,5.5,3,1,2,0,6.5,0,0,0,0
004,0,0,8.5,2.5,0,1452.5,0,216.8,0,0,27,1120.8,6,0,0,19.5,0,0,3,0,0,0,0,0,0,125.2,10,72,4.5,1.5,0,0,0,1.5,0,0.5,0,0,0,0,0,0
005,0,0,7.5,7.5,0,2022.2,0,216,0,0,18,698.5,13.5,0,0,5.5,0,0,3.5,0,0,0,0,0,0,115,12,60.8,8,2.5,1.5,0,3,3,1.5,1,0,2,0,0,0,0
006,0,0,0,11.3,0,1128.7,0,202.3,0,0,6.7,1003.3,6.7,0,0,1.3,0,0,0,0,0,0,0,0,0,50.7,2,53,2,0,2,0,2,0,0,0.7,0,2,0,0,0,0
007,0,0,6.7,16.7,0,1886,0,361.3,0,0,0,1305.3,7.3,0,0,7.3,0,0,18.7,0,0,0,0,0,0,118.3,1.3,113.3,3.3,1.3,4,0,2.7,0.7,0,2,0,6.7,0,0,0,0
008,0,0,10.7,52.3,0,1458.3,0,195,0,0,27.3,791,19.3,0,0,14.7,0,0,9.3,0,0,0,0,0,0,101.7,13.3,42,8,6.7,4.7,0,6.7,1.3,0,0.7,0,8,0,0,0,0
009,0,0,10.7,28.7,0,1255,0,189.7,0,0,18,720.3,16.7,0,0,7.3,0,0,0.7,0,0,0,0,0,0,74.7,16.7,51,6.7,4,2,0,5.3,2,0,1.3,0,7.3,0,0,0,0
010,0,0,95.8,50.2,0,1404.5,0,265,0,0,43.5,739.2,24,0,0,23.5,0,0,15,0,0,0,0,0,0,274.8,14,292,2.5,6,4.5,0,10.5,2,1.5,0,0,2,0,0,0,0
011,0,0,40,34,0,1455.5,0,314,0,0,7,1065.5,18,0,0,10,0,0,5.5,0,0,0,0,0,0,146.2,11,151.8,5.5,3.5,0.5,0,5.5,3,1,2,0,6.5,0,0,0,0
012,0,0,6,10,0,1112,0,213.8,0,0,3,578.8,9.5,0,0,4.5,0,0,5,0,0,0,0,0,0,65.2,5.5,82.8,2.5,2,1,0,2.5,2,0,0.5,0,2,0,0,0,0
013,0,0,10,32.5,0,1020.8,0,365.5,0,0,1.5,1038.8,17,0,0,6,0,0,7.5,0,0,0,0,0,0,89.5,6.5,90.2,6,4.5,2.5,0,3.5,3.5,0,0,0,3,0,0,0,0
014,0,0,33.6,46.8,0,1019.8,0,442.6,0,0,18.8,1822.4,25.4,0,0,23.4,0,0,18,0,0,0,0,0,0,120.8,6.8,34.4,11.2,2.8,2.8,0,8,1.6,0,0,0,5.2,0,0,0,0
015,0,0,12,78.8,0,935,0,426.8,0,0,40.2,2355.2,27.5,0,0,28,0,0,11,0,0,0,0,0,0,135,18,116,22.5,6.5,2,0,6.5,3,0.5,0,0,3,0,0,0,0
016,0,0,14,37,0,1115,0,361,0,0,21,2463,28,0,0,16,0,0,12,0,0,0,0,0,0,149.5,13,110.8,7.5,3.5,4,0,12.5,3.5,0,0,0,7.5,0,0,0,0
017,0,0,50.2,50,0,2370.8,0,304.8,0,0,38,1484.5,8.5,0,0,28,0,0,20,0,0,0,0,0,0,149.2,12,92.2,6,4.5,0,0,3,4.5,0,0.5,0,2,0,0,0,0
018,0,0,12,20.5,0,1025.2,0,293.2,0,0,3.5,802,11.5,0,0,8,0,0,14,0,0,0,0,0,0,133,2.5,135.2,6.5,2.8,0,0,4.5,2.5,0,0.5,0,6,0,0,0,0
019,0,0,10,24.5,0,502.5,0,233.2,0,0,16,1096,16.5,0,0,15.5,0,0,20.5,0,0,0,0,0,0,175.8,17.5,173.2,4.5,3,0,0,10,5,0,3,0,3.5,0,0,0,0
020,0,0,41.8,28.2,0,889.4,0,261,0,0,8.8,1213.8,14,0,0,10.4,0,0,10.8,0,0,0,0,0,0,107,4,102.4,5.6,1.2,2,0,9.2,2.8,1.2,0,0,4.8,0,0,0,0
021,0,0,44,13.5,0,962.8,0,267.8,0,0,4,933.5,1,0,0,5.5,0,0,5.5,0,0,0,0,0,0,63.5,5,74.5,3,1.5,0,0,3.5,1,0,0.5,0,5,0,0,0,0
022,0,0,0,21.5,0,1059.8,0,542,0,0,4.5,1650,7,0,0,12,0,0,25.8,0,0,0,0,0,0,108.2,9,100.8,7,0.5,1.5,0,5,1.5,0.5,0,0,4.5,0,0,0,0
023,0,0,27.5,32.2,0,1578.2,0,629.5,0,0,23,2501.5,8,0,0,8,0,0,9,0,0,0,0,0,0,107.2,12,341,16,4.5,0.5,0,4,0.5,0,0,0,7.5,0,0,0,0
024,0,0,10,14,0,1444,0,460,0,0,8.5,1960.2,15.5,0,0,9.5,0,0,1.5,0,0,0,0,0,0,126.8,8,186.5,25.8,1.5,1,0,6,0.5,0.5,0,0,6,0,0,0,0
025,0,0,29.8,64.5,0,1840.5,0,375.2,0,0,84.8,3990,48.2,0,0,54.8,0,0,12.5,0,0,0,0,0,0,148.5,9.5,310.8,11,1.5,4,0,16.5,5.5,0,1,0,13,1.5,0,0,0
026,0,0,32.3,30.3,0,4246,0,516.7,0,0,123.3,4523.7,32.3,0,0,19.3,0,0,17.3,0,0,0,0,0,0,172.7,23.3,87.7,12.7,3.3,0,0,0,4,0,0,0,1.3,0,0,0,0
027,0,0,45.2,29.8,0,2225.4,0,433.4,0,0,115.6,4137.6,27.2,0,0,20.8,0,0,9.6,0,0,0,0,0,0,158,14.4,128.8,19.2,2.4,1.2,0,7.6,1.2,2,0.4,0,4.4,0,0,0,0
028,0,0,25,67,0,1737.8,0,376.2,0,0,45.8,1874,56.4,0,0,24,0,0,6,0,0,0,0,0,0,118.6,6.4,41,11.6,2.4,2,0,8.8,1.2,4.4,0,0,8.4,0,0,0,0
029,0,0,16.5,45.5,0,2664.8,0,438.8,0,0,84.5,1083.5,18.5,0,0,21.5,0,0,13.5,0,0,0,0,0,0,99.5,4.5,94.2,9,3.5,0,0,7,2.5,2,0,0,22,0,0,0,0
030,0,0,121,152.7,0,4243,0,748.7,0,0,82.7,3898,111.3,0,0,50.7,0,0,36,0,0,0,0,0,0,197.3,40.7,202,20,8.7,2.7,0,11.3,2.7,0,0,0,37.3,0,0,0,0
031,0,0,44,104.2,0,3621,0,422.2,0,0,120,3467.2,47.5,0,0,48,0,0,18,0,0,0,0,0,0,199.2,49,115,25.5,5,3,0,4,1.5,11,0,0,26,0,0,0,0
