Day,Ash, Walnut, Birch, Cotton Wood, Elm, Glandular Mesquite, Hackberry, Hickory, Mulberry, Maple, Oak, Sycamore, Pine, Sweet Gum, Willow, Amaranth, Cattail, Ragweed, Rumex, Sagebrush, Saltbrush, Sedge, Ashe Juniper / Bald Cypress, Other Weed, Other Tree, Plantago, Alder, Cedar, Hazelnut, Aster, Nettle
2,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7,0,0,0,0,0,0,0,0
3,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0
4,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0
5,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,188,0,6,0,0,0,0,0,0
6,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
7,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72.5,0,2,0,0,4,0,0,0
8,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
9,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
10,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,337,0,5,0,2,4,0,0,0
11,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,0,0,0,0,0,0,0,0
12,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,5,0,0,0,0,0,0,0,0
13,352,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,4.7,0,2,0,0,3.3,0,0,0
14,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,11.6,0,0,0,0,0,0,0,0
15,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0,0,0,0,0,0,0
16,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0
17,348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,641.5,0,0,0,0,0,0,0,0
18,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
19,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
20,344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0
21,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
22,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,3,0,0,0,0,0,0,0,0
24,340,0,0,0,2.7,0,0,0,0,2.7,6,0,3.3,0,0,0,0,10,0,0,0,0,7.3,0,0,0,0,2.7,0,0,0
25,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0
26,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,2,0,0,4.7,1.3,0.7,0,0,0,0,0,0
27,337,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,7,3,2,0,0,0,0,0,0
28,336,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
29,335,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,20,0,0,0,0,0,2,0,0,0,4,0,0,0
30,334,0,0,0,0.7,0,0,0,0,0,1.3,0,0,0,0,3.3,0,9.3,0,0,0,0,0,0,1.3,0,0,2.7,0,0,0
31,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0
32,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,3,0,0,0,0,0,0
33,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,2,0,0,0
34,330,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1.3,0,0,0,0,0,0,0,0
35,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,4.7,0,1.3,0,0,1.3,0,0,0,0,0,0,0,0
36,328,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
37,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
38,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,8,0,0,0,0,1.3,0,1.3,0,0,1.3,0,0,0
39,325,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1,0,4.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0
40,324,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0.7,0,0,3.3,0,1.3,2,0,0,0,2,0
41,323,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0
42,322,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0
43,321,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,4,0,7.5,0,0,0,1,0,0,0,0,0,1.5,0,0,0
44,320,0,0,0,2.5,0,0,0,0,0,0,0,0,0,3.5,0,0,9.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0
45,319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0
46,318,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,2,0,5.5,0,0,0,1,1.5,0,0,0,0,1,0,0,0
47,317,0,0,0,3,0,0,0,0,0,0,0,1.5,0,0,1.5,0,13,0,5,0,0,4,0,0.5,0,0,1,0,0,0
48,316,0,0,0,10.7,0,0,0,0,0,0,0,0,0,1.3,13.3,0,26,0,4.7,0,0,2.7,0,0,0,0,0,0,0,0
49,315,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,0,0,0,0
50,314,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0.7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
51,313,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1.5,1,0,0,0,0,0,0
52,312,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,46.5,1,1.5,0,0,1,2.5,0,0,0,0,0,0,0
53,311,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,20,3,1,0,0,5.5,1,0,0,0,0,0,0,0
54,310,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.4,0,19.2,0,1.6,0,0,6,1.2,0,0,0,0.4,0,0,0
55,309,0,0,0,4.8,0,0,0,0,0,0,0,0.4,0,0,4,0,10.4,0.4,0,0,0,0.4,0.8,0,0,0,5.6,0,0,0
56,308,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0.7,0,0,0,0,0,0,0,0,0,0,0
57,307,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,1,0,41,0,2,0,0,0,0.5,1,0,0,1,0,0,0
58,306,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,30.7,0,0,0,0,0,3.3,0,0,0,0,0,0,0
59,305,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,34,0,0.5,0,0,22.8,2,0,0,0,1.5,0,0,0
60,304,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,4.7,2.7,0,0,0,0,0,0,0
61,303,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,66.8,0,0.4,0,0.4,13.2,2.4,0,0,0,0,0,0,0
62,302,0,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0.4,0,67.8,0,1.2,0,1.2,14,2.8,0,0,0,0,0,0,0
63,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2,0,0,0,0,6.5,1,0,0,0,0,0,0,0
64,300,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,49,0,1,0,0,3,3.5,0,0,0,0,0,0,0
65,299,0,0,0,88.5,0,0,0,0,0,1,0,0,0,0,2,0,81.5,2,2,0,0,8,4.5,1,0,0,0,0,0,0
66,298,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,4.5,0,110.5,0,7.5,0,6,3,3,0,0,0,0,0,0,0
67,297,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3.3,0,145.3,0,6,0,0,0,0,2,0,0,0,0,0,0
68,296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,0.5,9.5,0,0,0,2,1,0,0,0,0,0,0
69,295,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,114.5,0,1.5,0,0,1,3,1.5,0,0,0,0,0,0
70,294,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,103.2,0,0,0,1,0,1,0,0,0,0,0,0,0
71,293,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,234.8,0,0,0,3.5,0,3,0,0,0,0,0,0,0
72,292,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,226.8,0.5,4,0,0.5,0.5,6,0,0,0,0,0,0,0
73,291,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,1,0,196.2,0,0,0,0.5,0,3.5,1,0,0,0,0,0,0
74,290,0,0,0,57.4,0,0,0,0,0,0,0,0,0,0,0.8,0,173.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0
75,289,0,0,0,46.4,0,0,0,0,0,0,0,0.8,0,0,0.8,0,242.2,0,0.4,0,1.2,3.6,3.2,0,0,0,0,0,0,0
76,288,0,0,0,65,0,0,0,0,0,0,0,0,0,0,2,0,345.2,0,0.8,0,0.4,2,5.2,0,0,0,0,0,0,0
77,287,0,0,0,11,0,0,0,0,0,0,0,1.5,0,0,3.5,0,514.8,0,5.5,0,0,48,1.5,0,0,0,0,0,0,0
78,286,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,230.3,0,0,0,0,0,2.7,0,0,0,0,0,0,0
