Week,Ash,Walnut,Birch,Cotton Wood,Dogwood,Elm,Glandular Mesquite,Hackberry,Hickory,Mulberry,Maple,Osage Orange,Oak,Sycamore,Pine,Privet,Sweet Gum,Gingko Biloba,Willow,Amaranth,Burweed / Marshelder,Cattail,Dog Fennel,Lamb's Quarters,Ragweed,Rumex,Sagebrush,Saltbrush,Sedge,Ashe Juniper / Bald Cypress,Bushes,Sneezeweed,Black Gum,Other Weed,Other Tree,Plantago,Partridge Pea,Pigweed,Alder,Cedar,Hazelnut,Plum Grannet,Aster,Nettle,Magnolia,Wild Carrot
00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0
01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.4,0,0,0,43.9,0,0,0,0,2,0,0,0,0.4,2,0,0,0,0,0,0
02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1.1,0,0.4,0,0,55.3,0,0,0,0,0.6,0,0,0,0,0.4,0,0,0,0,0,0
03,0,0,0,0,0,0.5,0,0,0,0,0.7,0,1.6,0,0.9,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,120.1,0,0,0,0.4,0,0,0,0,0.4,0.7,0,0,0,0,0,0
04,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,2,0,0,0,0,8.1,0,0.4,0,0,3.6,0,0,0,1.1,1,0,0,0,0,1,0,0,0,0,0,0
05,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,7.2,0,0.4,0,0,0.5,0,0,0,0.5,0.5,0.4,0,0,0,1,0,0,0.4,0,0,0
06,2.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,0,0,6.8,0,0.3,0,0.6,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
07,4.8,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,2.3,0,0,0,0,13.4,0.7,1.5,0,0.1,1.2,0,0,0,0.7,0.2,0,0,0,0,0.6,0,0,0,0,0,0
08,0.8,0,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.3,0,0,0,0,27.9,0.1,1.1,0,0,2.1,0,0,0,1.2,0.1,0,0,0,0,1.4,0,0,0,0,0,0
09,0,0,0,0,0,19.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.4,0,0,0,0,73.9,0.3,3.6,0,1.1,11.1,0,0,0,2.2,0.5,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,170.8,0.1,0.7,0,0.8,0.4,0,0,0,3.1,0.2,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1.9,0,0,0,0,298.5,0,1.3,0,0.5,8.8,0,0,0,3.2,0.1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,360.3,0,1.8,0,1.4,0.9,0,0,0,4.6,0.6,0.1,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,71.2,0,0,0,0,0,0,0,0,0,NA,0,0,0,5.6,0,0,0,0,172,0,1.6,0,4,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,153.2,0.1,4.4,0,6.8,0,0,0,0,2.2,0.1,0.3,0,0,0,0,0,0,0,0.6,0,0
15,0,0,0,0,0,105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,104.4,0.2,1.1,0,5.8,0,0,0,0,2.5,1,0,0,0,0.9,0,0,0,0,0.3,0,0
16,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,43.3,0.6,0.7,0,0.8,0,0,0,0,1,1.1,0.6,0,0,0,0,0,0,0,0.3,0,0
17,2.1,0,0,0.2,0,48.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,22.6,2.6,1.9,0,2.5,0,0,0,0,2.7,0.2,0,0,0,0,0,0,0,0,0.8,0,0
18,0,0,0,0.2,0,2.7,0,0,0.3,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,5,0.2,0.2,0,2.9,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,3,0.3,0.3,0,2.1,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,5.1,0,0,0,0,2.2,0.3,0.5,0,1.8,0,0,0,0,1.6,0,0.2,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0.1,0,0,0,0.6,0,0,0,0,0.1,NA,0,0,0,3.2,0,0,0,0,4.3,0,1,0,3.5,0,0,0,0,1.8,0,0.2,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0.3,0,0,0.4,0.3,0,0,0.4,0,0.1,0,0,0,0,6.4,0,0,0,0,7,1.1,1,0,2.4,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0.1,0,0
23,0,0,0,0,0,1.2,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,2.7,0.3,0.8,0,2.5,0,0,0,0,2.1,0,0.1,0,0,0,0,0,0,0.2,0.4,0,0
24,0.4,0,0,0,0,0.1,0,0,3.2,1,0.2,0,0,0.1,0,0,0,0,0,4.2,0,0,0,0,1.3,0.1,1,0,3.1,0.1,0,0,0,1.6,0,0.3,0,0,0,0,0,0,0,0.1,0,0
25,0,0,0,0.2,0,0.3,0,0.2,0.3,0.5,1.2,0,0.1,0.2,0,0,0,0,0.1,4,0,0,0,0,0.8,0.5,1,0,2.7,0,0,0,0,0.7,0,0.5,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0.4,0,0.2,0,0.6,0.1,0.1,0,0,0,0.5,0.2,0,0,0,0.1,3.5,0,0,0,0,0.5,0.1,0.2,0,3.1,0,0,0,0,2.8,0.2,1.2,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,5.6,0,0,0,0,0,0.4,1.4,0,3.3,0.3,0,0,0,4.6,0,2,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0,0,0.2,0.6,0.6,0,3.4,0,0,0,0,1.2,0,0.3,0,0,0,0,0,0,0,0,0,0
29,0.2,0,0,0,0,0,0,0,0.6,0.3,0.1,0,0,0,1.3,0,0,0,0,1.4,0,0,0,0,0,0.2,0.3,0,5.6,0,0,0,0,3.9,0.2,3,0,0,0,0,0,0,0,0,0,0
30,0.1,0,0,0.2,0,0,0,0.1,0.6,0.2,0.4,0,0.5,0.7,1,0,0,0,0,0.9,0,0,0,0,0,0.2,0,0,3.3,0,0,0,0,2.7,0.2,1.4,0,0,0,0,0,0,0,0,0,0
31,0.9,0.1,0,0.9,0,0,0,0.4,1.2,0.6,0,0,0.7,0.7,0.5,0,0,0,0,0.3,0,0,0,0,0.4,0.2,0,0.3,3.1,0,0,0,0,1,0.3,0.7,0,0,0,0,0,0,0,0,0,0
32,0.7,0,0.4,1.2,0,0.2,0,0.3,3,0.5,0.9,0,0.5,0.1,0.6,0,0,0,1.3,0.1,0,0.1,0,0,0,0.1,1,0,1.3,0.2,0,0,0,0.7,0,2.4,0,0,0,0,0,0,0.6,0.1,0,0
33,4.8,0,0.6,2.3,0,0.9,0,0.9,4.9,3.3,0.6,0,1.3,0.2,1.3,0,0,0,0.6,0.1,0,0.1,0,0,0.2,0.8,1.4,0,1.4,3.9,0,0,0,1.8,0.5,0.7,0,0,0,0,0,0,0.1,0.7,0,0
34,4.4,0,1.5,4.9,0,0.3,0.1,4.2,10.7,4.6,1.5,0,3.7,0.5,1.3,0,0.1,0,0.9,0.9,0,0.1,0,0,0.3,3.4,1.3,0,3.6,2.9,0,0,0,3.6,1.1,2.1,0,0,0,0,0,0,0.1,2.5,0,0
35,3.5,0.1,0.6,4.4,0,0.1,0,5,41.6,3.3,1.1,0,9.8,1.6,8.3,0,0,0,2,0.1,0,0,0,0,0.2,0.7,0,0,6,1.1,0,0,0,2.1,2.3,1.1,0,0,0,0,0,0,0,0.3,0,0
36,5.9,1.2,1.6,4.6,0,0.2,0,7.5,37.9,2.1,0.9,0,23,1.4,8.4,0,0.3,0,3.1,0.4,0,0.1,0,0,0,6.7,0,0,4.9,1.8,0,0,0,1.5,2.5,1.2,0,0,0,0,0,0,0,0,0,0
37,10.6,0.4,1.6,5.7,0,0.4,0,5.6,21.1,2.4,3.7,0,70.1,1.7,21.8,0,0.1,0,2.7,0.1,0,0.1,0,0,0,2.4,0,0,3.5,1.1,0,0,0,2.3,2.5,0.7,0,0,0,0,0,0,0,0,0,0
38,18.2,0.4,2.1,12.4,0,0.4,0,10.1,8.5,4.4,9.9,0,239.1,3.5,25.2,0,0.1,0,7.3,0.1,0,0,0,0,0,2.8,0.1,0,6,2.6,0,0,0,2,3.1,0.6,0,0,0,0,0,0,0,0,0,0
39,60.6,0.6,13.7,7.7,0,3.4,0,8.2,1.7,10.7,15.2,0,977.3,15.8,33.3,0,0.9,0,15.9,0,0,0,0,0,0.1,0.4,1,0,4,31.7,0,0,0,0.6,1,1,0,0,0,0.3,0,0,0,0,0,0
40,193.8,1.4,30.7,8.1,0,22.9,0,22.6,0,23.1,8.8,0,1856.3,9,141.9,0,8.4,0,24.2,0,0,0,0,0,0,0,0,0,3,64.9,0,0,0,0,0.6,0,0,0,0,6.8,0,0,0,0,0,0
41,241.8,7.8,38.3,15.8,0,29.3,0,45,0,35.7,4.2,0,1575.9,3.7,427,0,11.8,0,8.8,0,0,0,0,0,0,0,0,0,3.6,65.5,0,0,0,0.1,0.7,0,0,0,0,24.8,0,0,0,0,0,0
42,107.1,5,43.9,8.9,0,12,0,27.2,0.4,18.4,6.9,0,979.8,2.7,265.2,0,7.3,0,3.3,0,0,0,0,0,0.2,0,0,0,1.1,38.8,0,0,0,0.1,2.5,0,0,0,0.5,13.9,0,0,0,0,0,0
43,65.4,3.3,28.9,8.3,0,15.6,0,5.9,0.1,13.7,3.8,0,459.3,0.7,174.7,0,3.4,0,12.3,0,0,0,0,0,0.1,0,0,0,0.1,78.2,0,0,0,0.1,2.4,0,0,0,1.6,2.7,0,0,0,0,0,0
44,58.8,0.7,28.9,2.1,0,22,0,1.4,0,13.6,0.3,0,195.5,0.1,111.9,0,0.8,0,1.2,0,0,0,0,0,0,0,0,0,0.6,72.4,0,0,0,0,3.5,0,0,0,2,1.7,0.1,0,0,0,0,0
45,81.9,0,10.8,1.8,0,46.9,0,0.5,0,2.3,0.5,0,30.3,0,44.8,0,1.1,0,0,0.1,0,0,0,0,0,0,0,0,0.2,114.9,0,0,0,0,2,0,0,0,0.5,6.7,0,0,0,0,0,0
46,30.1,0,13.5,4.1,0,113.6,0,0.1,0,0.6,0.6,0,8.3,0,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.7,0,0,0,0,1.3,0,0,0,1.6,20.3,0.1,0,0,0,0,0
47,7.1,0,0.3,4.3,0,65.5,0,0,0,0.2,0,0,4.9,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,81.4,0,0,0,0,1,0,0,0,1,31.1,0,0,0,0,0,0
48,0.4,0,0,0,0,63.3,0,0,0,0,0,0,7.8,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,44.2,0,0,0,0,0.5,0,0,0,0.2,24.3,0,0,0,0,0,0
49,1.1,0,0,1.1,0,9.4,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.8,0.5,0,0,0,108.6,0,0,0,0.1,0.3,0,0,0,0.5,45,0,0,0,0,0,0
50,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2.1,0,0,0.2,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,122.5,0,0,0,0,0.6,0,0,0,0,41.5,0,0,0,0,0,0
52,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,2.4,0,0,0,0.9,0.4,0,0,0,0,5.3,0,0,0,0,0,0
