FullDate, Year, Month, DATE, Acrodictys, Agrocybe, Algae, Alternaria, Arthimium, Ascomycetes, Asperisporium, Basidiomycetes, Beltrania, Botrytis, Cercospora, Cladosporium, Curvularia, *D. conidia/hyphae, Dendryphiella, Drechslera/Helmintho., Dichotomophthora, Diplococcum, Epicoccum, Fusariella, Ganoderma, Helicomina, Microsporum, Misc. Fungus (Hyaline), Monodictys, Myxomycete/Smut, Nigrospora, Penicillium/Aspergillus, Periconia, Pestalotiopsis, Pithomyces, Powdery Mildew, Pseudocercospora, Puccinia, Rust, Spegazinia, Stemphyllium, Tetrapola, Tilletia, Torula
12/2/2013,2013,12,2, NA, NA, NA,16, NA,303, NA,91, NA, NA,6,350,4, NA, NA,8, NA, NA,4, NA, NA, NA, NA, NA, NA,30,8,50, NA, NA, NA, NA, NA, NA,2, NA, NA, NA, NA,2
12/3/2013,2013,12,3, NA, NA, NA,101, NA,2502, NA,198, NA, NA,97,2725,81, NA, NA,48, NA, NA,4, NA, NA, NA, NA, NA, NA,129, NA,30,12, NA,4, NA, NA, NA,8, NA, NA, NA, NA,10
12/4/2013,2013,12,4, NA, NA,40,85, NA,1312, NA,328, NA, NA,208,4507,40, NA, NA,50, NA, NA,10, NA, NA, NA, NA, NA, NA,172,18, NA,20, NA,4, NA, NA, NA, NA, NA,6,2, NA,8
12/5/2013,2013,12,5, NA, NA,48,30, NA,1692, NA,283, NA, NA,145,2786, NA, NA, NA,28, NA, NA,14, NA, NA, NA, NA, NA, NA,87,24, NA,20, NA,10, NA, NA, NA, NA, NA, NA, NA, NA,4
12/6/2013,2013,12,6, NA, NA,16,78, NA,650, NA,121, NA, NA,46,2436,44, NA, NA,70, NA, NA,20, NA, NA, NA, NA, NA, NA,139,10,162,8, NA,6,10, NA, NA,18,4, NA,2, NA,10
12/9/2013,2013,12,9, NA, NA, NA, NA, NA,546, NA,315, NA, NA, NA,437, NA, NA, NA,4, NA, NA, NA, NA, NA, NA, NA, NA, NA,16, NA,120, NA, NA, NA,4, NA, NA,2, NA, NA, NA, NA, NA
12/10/2013,2013,12,10, NA, NA,56, NA, NA,1053, NA,137, NA, NA, NA,445, NA, NA, NA,4, NA, NA, NA, NA, NA, NA, NA, NA, NA,24, NA,93, NA, NA,4, NA, NA, NA,6,2, NA, NA, NA, NA
12/11/2013,2013,12,11, NA, NA,88,24, NA,251, NA,194, NA, NA,12,364, NA, NA, NA,8, NA, NA,6, NA, NA, NA, NA, NA, NA,56,4,186, NA, NA,2,4, NA, NA,8, NA, NA, NA, NA,6
12/12/2013,2013,12,12, NA, NA,16,16, NA,198, NA,125, NA, NA, NA,433,14, NA, NA,16, NA, NA,18, NA, NA, NA, NA, NA, NA,229,8,103, NA, NA, NA, NA, NA, NA,4,14, NA,4, NA, NA
12/13/2013,2013,12,13, NA, NA, NA,4, NA,510, NA,453, NA, NA, NA,607,12, NA, NA,6, NA, NA,8, NA, NA, NA, NA, NA, NA,160, NA,137,12, NA,4, NA, NA, NA,4,2, NA, NA, NA,2
12/16/2013,2013,12,16, NA, NA, NA,12, NA,218, NA,129, NA, NA, NA,1293, NA, NA, NA,18, NA, NA,2, NA, NA, NA, NA, NA, NA,20, NA,162,6, NA, NA, NA, NA, NA,4,2, NA, NA, NA, NA
